wünschen		desear		yo deseo a la gisele bundchen																						
erhalten		conseguir		ya lo consigues. la meta es cerca. Se acerca un guardia civil "eerrrrrrrr", dije, "halten" ahora mismo! (parese ahora mismo)																						
leben		vivir		lebandowski en un piscina infinita, viviendo como un rey, corona incluida.																						
geboren werden		nacer		el risita viendo un parto == jejeje (ge) y de repente se duerme de aburrimiento (boren), entra en la sala de parto un pintor y lo pinta todo de papel verde con motivos como cesped.																						
wachsen	vajsen	crecer		un ninio crece mucho en el autobus del colegio y el autobusero le dice al resto, bajensen del autobus																						
sterben		morir		se muere a la entrada de un el corte ingles y le dicen que se aparte. Que estorba																						
fühlen	filen	sentir		uno sintiendo triste y llenandose el estomago con una pala																					
verletzen		doler		un ninio en clase dice que le duele mucho el estomago y el mestro le coge de la oreja le atrae al teclado y le dice haga usted el favor de ver la leccion																						
heilung	jailung	curar		una enfermera caxonda pone las manos en soldados malheridos y les curar y uno se pone a reir "jajajaja" a pleno "lung", se le sale un pulmon y se muere.																						
anschauen		ver		pasa por delante un escaparate y derepente "ve" que una model que esta buenisima se transforma en una mujer "ancha" y gorda.																						
schauen		mirar		oye tienes jachis? si mira! - lo coge del cuello, quema el jachis y dice , es de chauen.																						
Kloppen		tocar		una tia tocandose las tetas y la gente aplaudiendo 'Klop" "Klop"																						
geruch		oler		un perro oliendo y caminando hacia delante... cuando empieza empieza a "ger" minar una planta y levanta al perro del aire al caer "auch" or un tio se rie del perro (jejeje) y el perro ruge como un leon!	(el segundo)																					
löschen	leshen	borrar		el maestro borrando la pizarra con "leche"																						
Zeichen	tsaijen	firmar		Obama firmando una ley y le dice a uno de al lado, sabes lo que te sajan por un boli de estos? y le muestra la cicatriz debajo de la camisa.																						
erstellen		fabricar		un tio en la fabrica de automobiles no deja the hablarla, contarle tellen a ella (contarle cuentos) y se distrae y pierde una mano																						
bauen		construir		Construyen los fragel rock un cristal invisible y le dije a uno lo ves? y el le echa bao , uuuuuuhhh y dice si :)																						
abschieBen	abs shie sen	derribar		Un obrero derriba una pared  señala los "abs" de su mujer embarazada (que tiene six pack) y les dice a todos "shhhh" No despierten al niño. La mujer le mira com diciendo este esta fatal																						
Löschen	lesjen	eliminar		James bond elimina al malo desde "lejos"																						
füllen		llenar		llenando con leche la mujer CIEGA de Vermeer, hasta el mismisimo borde. Hasta que esta "full" y ella lo siente con la mano (se pronuncia igual que fühlen.																						
