- versehen - to provide		FER providing a cup of coffee to the driver y el tio se le queda mirando y no lo coge
- versprechen - to promise		FER prometiendo a Dios que no va a tirar nada mas al suelo -> la basura empieza a hablarle
- verstärken - to reinforce		FER poniendo cemento en el paso de cebra, y aparece Spok (stark) y le da una palmadita
- verstecken - to hide		FER  escondiendose en la puerta -> y se pone a jugar al tekken
- verteidigen - to defend		FER defendiendose de los espadazos de DArk Vader -> y cuando tal se tidy up, pelo incluido
- vertrauen - to trust		FER confia cuando la tipa le da un corazon al rojo vivo (duda pero lo coge) -> y le pasa un TRAm con una U de toro por encima. Previsible.
- vertreten - to represent		FER representando a Schumacher para coger los billetes -> y le tratan como a un rey
- verwalten - to manage		FER diciendole a la gente, pare, no ahora pasa, para -> y aparece WALT disnes con MIcky y pasan sin hacerle ni puto caso
- verwehen - to blow away		FER flipando con la capacidad de la caja, pone a saco y nunca se llena -> aparecen muchos HEN y le dicen WE pa dentro y todos a una
- verwenden - to use		FER usando el cortau¨nnas para demostrar que no es un arma -> pero se taja y se tiene que vendar
- verzichten - to renounce		FER renunciando su citizenship, rompiendo el pasaporte -> Se golpea en el pecho ICH ICH y se pone la mascara del zorro y se multiplica en TEN
- vorbeireiten - to prepare in advance		TH preparandose para pegarse con el guardia (y se acuerda que lleva entrenando varios meses) -> y dice BYE en cuando ve a las ratas kommen
- vorgehen - to proceed		TH procede (cede a un pro, nadal) por las escaleras -> y le dice GOGO y este corre
- vorhaben - to plan		TH fumando el puro de Anibal -> y se da cuenta que TIENE una caja. Le encanta que los planes salgan bien.
- vorlegen - to present		TH presentando sus papeles en la seguirdad -> y la tia le pone la pierna 
- vorliegen - to be available		TH preguntando si hay bolsos de color amarillo Available (le dicen que no) -> y procede a ligarsela a ver si aparece uno
- vornehmen - to make		TH haciendo la estatua -> y cuando termina la coge (toda para el)
- vorschlafen - to sleep in advance		TH durmiento mientras la tipa avanza -> ...
- vorstellen - to introduce		TH metiendo un duro en el arroz con mango -> le enfocan con una luz y le aparecen estrellas (es una de hollywood )
- vorwerfen - to accuse		TH acusando de que uno a robado un reloj -> y les dice es FER con ese FEN
- wagen - to dare		yo atreviendome a comprar un bolso -> y me dan un coche
- wählen - to choose		yo eligiendo a pito pito gorgorito entre el budista y su madre -> y al elegir se convierte una whale
- warten - to wait		
- weben - to weave		cosiendo en el stall de tech -> aparece una araña y le echa una mano
- wechseln - to change		
- weisen - to show		Enseñando, taran! cortina abajo que detras hay un masage -> y aparece saliendo uno con barba blanca hasta el suelo
- weißen - to whiten		El tio blanqueandose los dientes la salir del WC -> ...
- wenden - to turn		El TRex se para y da la vuelta -> se rompe el tobillo y le vendan
- wesen - to be		how is diff to bewerten
- wetten - to bet		apostando todas las chips en el mostrador -> y la tia se pone wet
- wiederherstellen - to restore		restaurando el mueble de la sal -> mientras le dice, otravez a HER (SHARON) ponte asi. Como si estuviera esculpiendola en el mueble
- wiederholen - to repeat		
- winken - to wave		haciendo la ola mientras ata los carritos -> y me giña un ojo
- wirken - to have an effect		la tia dejando hipnotizados a la pareja de al lado -> y aparece el capitna kIRK y le osculta. Si le ha echo efecto si. Le dice a ella.
- wundernehmen - to marvel		que maravila de te thai! -> ella hace la W y yo la cojo por debajo
- wünschen - to wish		
- zahlen - to pay		uno pagando y el otro contando -> Pagando con A y el otro cambiando to E.
- zerfahren - to drive chaotically		mazinger Z conduciendo rampa abajo cahoticamente -> 
- zerstören - to destroy		Max Z destruyendo la maquina de cafe -> y guardandoslos granos de cafe que salen despedidos en un frasco
- zielen - to aim		Apuntando a la japonesa con un dardo -> y aparece hELEN mirren en mi hombro y me dice ZI!
- zugreifen - to access		ziZU accediendo a una entrada que hay debajo de las luces -> y cuando pasa y cierra se pone a grief (llorar echando de menos el mundo que dejo attras)
- zulassen - to allow		ziZU dejando pasar a un fantasma que pasa
- zuordnen - to assign		ziZu assignando asientos a los que estan en la cola, dandoles cupones -> y poniendoles un lacito
- zusammenstoßen - to collide		ziZU chocando con los que salen de WC -> y todos se juntan y le tosen
- zustimmen - to agree		
- zuweisen - to allocate		ziZU poniendo tios rigidos en las sillas -> poniendoles una birra en la mano. 
