die Banane		Plátano		sharon chupando una banana, dandole arcadas en le fregadero
die Melone		Melón		sharon cogiendo un melon de la nevera partiendolo en dos y se lo pone debajo del bra
die Birne		Pera		Sharon se cuelga dos perdas antes y mea de pie, con una BIRra en la mano tirandola para ver si le entran ganas..... NE. Se sube los pantacas sin haber meado.
der Apfel		Manzana		Brad muerde un manzana mientras se mira al espejo
die Erdbeere		Fresa		Kim Bassinger untando una fresa de nata en el ombligo, y  diciendole a ER DEBE comersela! a Sharon que mira envidiosa
der Joghurt		Yogur		Brad comiendose un Jogurt, chupando la tapa, encima de la mesa (como se llama ? a ese tipo de mesas?)
die Torte		Tarta		La pintura de Pati comiendose una Tarta de chocolate, la boca llena y marron
der Kuchen		Pastel		Brad con un pastel con una vela y esta crudo, arggg! lo mete en un horna
die Schokolade		Chocolate		Halle Berry en la cama pasandose el chocolate y luego hace la colada (mete la ropa en la lavadora)
die Zitrone		Limón		Margot Robbie conduciendo un Citroen Tiburon en la mesa, como una barbi
das Eis		Helado		EPI comiendose un helado y le tiran muchos huevos EIS a la cabeza, baja corriendo sujetando el helado
				
der Kaffee		CAFÉ		Brad le da un sorbo al cafe y esta supercaliente, se quema que flipas.
der Tee		Té		Jacki Chan sirviendose un te de una tetera y llenando todo de humo
die Milch		Leche		Sharon tirandose la leche por encima de la cabeza mientras gira encima de la empanadilla
der Zucker		Azúcar		Brad lamiendo el azucar del suelo y mamando
der Süßstoff		Sacarina		Brad meando y la dan un susto SUSSTO y se le corta OFF la meada, SACa la hArina y se pone un tiro y sigue meando
das Wasser		Agua		EPI bebiendo agua mientras pasea por el pasillo y se tropieza y mancha unos cuadros
der Wein		Vino		Brad se sienta en el sillon y sus colegas le miran y abren un vino, le dan un trago cada uno y dicen WE IN not on (sentado como Brad)
das Bier		Cerveza		Las fotos como muñecos trando unas birritas
der Alkohol		Alcohol		Brad entra en el ascensor y se toma un chupito mientras el ascensor cae
