Die Natur		NATURALEZA		Sharon abre la puerta del armario y hay un bosque
Das Meer		Mar		EPI en un bote en un mar embravecido
Der Strand		Playa		Will Smith en la playa debajo del arbolito, con un barco gigante alado, STRANDed. Como el de la peli de "Leave the world behind|"
Der Fluss		Rio		Brad con los pies en rio (en medio), sentado en el un barca, passandose el super Floss 
Das Ufer		Orilla		Gustavo acercandose a la orilla a beber con unos leones, y ve como FER alonso hace un U turn al ver a los leones.
Der See		Lago		Brad jugando con unos LEGOS (lago) en un charco y derrepente se ve en medio del mar por la noche
Der Berg		Montaña		Edward Norton vestido de Boy Scout en Moonrise Kingdom, paseando por la montaña, y se le lanza por la espalda WahlBERG (vestido de militar) y ruedan abajo.
Der Wald		Bosque		Frodo en un bosque llevando un VALDe gigante de leche, se tropieza constantement
Der Baum		Árbol		Frodo hablando con un ENT
Das Feld		Campo		Gustavo corriendo en un campo de futbol, con la pelota en los pies y se para a mirar debajo las FALDas de una chica
Die Übung		Ejercicio		La teniente O'neal haciendo fondos y escribiendo a la vez
Der Sport		Deporte		Usaia Bolt men on earch corriendo
				
- das Papier		PAPEL		Epi haciendo origami
- der Brief		Carta		Brad sacando una carta de un brief case muy brief (como el bolso de mery poppins)  y pegandola al espejo
- das Blatt		Folio		EPI rompientdo un folio en trocitos y hablando para si BLA BLA mientras se mete en un Audi TT
- der Umschlag		Sobre		Lian nisson metiendo un papel en un sobre y se sienta UMMMMM (meditando) en las escaleras y sale un vecino y le dice SHHHH. Y le tira el moustro del LAGo ness a la cabeza,
- die Briefmarke		Sello		Sharon mira la empanadilla de cerca y le ponen un sello en la frente, ella coje un maletin (BRIEFcase) y lo marca con el sello
- das Buch		Libro		EPI leyendo un libro en la cesta del pan
- das Notizbuch		Libreta		Blas escribiendo en una libreta, empieza a meter NOTIZias, recortads del periodico y se lo a Epi. Para que tenga otro BUCH
- die Zeitung		Periódico		Sharon leyendo el periodico enorme, de esos antiguos, de una sola pagina. y de repente suena el reloj de la plaza, huyyy! es tarde y se tiene que ir. Se le paso el tiempo.
- die Nachricht		Noticia		La teniente Oneal oyendo las noticias en una radio pequeñita y atacan USA. se va de NAJas corriendo solo con la pierna derecha (RICHT)
- die Mitteilung		Aviso		Sharon con un megafono avisando y se le parte en LUNG por MITTEL y se le cae
- die Zeitschrift		Revista		Susan Sarandon leyendo una revista en el arbol y escribiendo (SCHIRFT) en su reloj (ZEIT)
- der Kugelschreiber		Bolígrafo		Brad saca un boli para firmar un autografo, aparece el oso de KUng fu y le pone un gel helado en la mano para que no se canse. 
- der Bleistift		Lápiz		Yo de pequeño pintando con un lapiz y un indalo que habla BLA IS y me quedo stiff (tieso) del susto.
