Die Handschuhe		Guantes		Kim se pone guantes unos zapatos encima y trapa el garage																						
Der Badeanzug		Bañador		Brad en bañador piratas, pasa de una lado a otro del coche que hay un rio pequeño. BADEAR. Y le pasa un tren ZUG por encima.																						
Der Bikini		Bikini		Brad en bikini en el ditch																						
Der Regenschirm		Paraguas		Brad con un paraguas cubriendo el asado, bailando rege, Aparece Bob, y le pone una CHIMenea encima del paraguas																						
Die Brille		Gafas		Sharon se sube al arbol, se pone las gafas y sirve the faro (con el BRILLo) 																						
																										
Der Stoff		TELA		brad encima de las uvas cortando tela y poniendola en un STOFado (carrilleras)																						
Die Seide		Seda		Sharon en un columpio de seda, se columpia de lado SIDE																						
Die Baumwolle		Algodón		Halle berry tira un algodon en la piscina y se chupa toda el agua, y crece un arbol de jerseys de algodon																						
Die Wolle		Lana		Halle con con un ovillo de lana poniendolo en todo el shed.																						
Der Lappen		Trapo		brad limpiendo con un trapo sucio el muro y escupiendo																						
																										
Die Material		MATERIAL		Sharon intentando cortar una rosa, pero es de un material irrompible. (adiamantum actually)																						
Das Plastik		Plástico		Una rata de plastico, EPI la ve y se asusta																						
Der Karton		Cartón		Brad cortando un carton y poniendolo en el baul para jugar																						
Das Metall		Metal		Gustavo se tira a la cama, pero es de metal y se queda mudo																						
Das Holz		Madera		El armario de madera, blas lo toca y le hace un HOL y pinta una Z																						
Das Natürlich		Natural		Gustavo se mete en el cuarto de las cajas y esta llena de arboles y llerba, muy natural. No le sorprende, naturlich																						
																										
Die Zeit		TIEMPO		Entra sharon En la cocina y un temporal,																						
Die Geschichte		Historia		Sharon mira en la despensa y estan podridas las aceitunas y se pierde en como nacio ese																						
Das Datum		Fecha		EPI mira en la nevera y la mantequilla esta fuera de la FECHA de caducidad, y saca un DATil en vez de mantequilla																						
Das Alter		Edad		En la cama de los papis Blas y EPI muy alterados y cuando se calman del estres han envejecido, tienen una edad.																						
Das Jahr		Año		En la tela EPI celebrando su cumpleaños																						
Der Tag		Día		Brad se tira en el sillon y se hace de dia (o se ve un reloj y se oye, pasando las horas) un dia completo.																						
Die Stunde		Hora		Sharon y susan sincronizando los relojes																						
Die Minute		Minuto		aumenta el zoom, y los minutos																						
Die Sekunde		Segundo		aumenta el zoom, y los segundos																						
Der Zeitplan		Horario		El zorro, En la casa del perro, mira el horario, esta cerrado, closed. Espera un rato y se le ilumina una bombilla (plan)																						
Die Uhr		Reloj		En la panaderia entra sharon y mira el reloj y se queda hipnotizada																						
