Größer		MAYOR		Un consolador mas grande que otro, GROSS																						
Kleiner		Menor		Schwarzeneger y de vito pidiendo unos cafes																						
Groß		Grande		El consolador de antes en el mostrador																						
Klein		Pequeño		De vito saltando para pedir unas fotocopias																						
Oberer		Superior		Un obrero dandole los pantalones todo sucios, y la tipa dandole unos de adiamantum. El tio se vuelve gigante																						
Unterer		Inferior		La dependienta untando la carta con mermelada y el jefe riñendola, la tia se vuelve pequeñita.																						
																										
Schön		BONITO		Un tio con la cara en las manos como bocata de bonito																						
Schön		Bello		Un tio con la cara en las manos como bocata de bonito																						
Hübsch		Guapo		Ben Stiller con Blue Steel look, mientras le hacen fotos, se mete en un HUB la rueda de un coche y les dice SHHH																						
Hässlich		Feo		El de los Gonies, con una capa de lobo estepario (herman HESS), lijando el suelo.																						
																										
Sauber		LIMPIO		La de la limpieza termina de limpiar el suelo del mostrador y brilla de limpio. La tia se monta en un Sauber y se pira																						
Schmutzig		Sucio		Le dice SHHH a uno que es mudo y este se pone a hacer zig zag entre las bicis																						
Heiß		Caliente		La prensa caliente, al rojo y el nota tomando un helado																						
Kalt		Frío		El cristal congelado																						
Billig		Barato		Las cintas se estropean por que son baratas y ademas viene uno y le da las BILLs. Salta hasta la estacion de petrol.																						
Teuer		Caro		Un roll royce, y lo cambia por un reloj Tag hEUER. 																						
Voll		Lleno		Le ofrece una Voll amstel a la dependienta y esta le dice que esta llena. Tiene un estomago como si se hubiera comido un corderito.																						
Leer		Vacío		Mira en las cocacolas y solo hay pales. Se pone a leer esperando que las traigan.																						
