schnell		RÁPIDO		Rapido dame que me tengo que ir! 																						
langsam		Lento		Vamos siga a ese coche! Y va lentisimo, y pone la pelicula de lonesome																						
eilig		Deprisa		Cruza deprisa y se rie mientras cruza y se para AY me duele la LIGa ( y se la quita)																						
langsam		Despacio		Le acaricia al niño de Belen muy despacio y suena la musica otra vez																						
vorwärts		Adelante		Con el dedo hacia delante y sus seguidores le adelantan, POR los WERTerS!! hay caramelos en el suelo																						
rückwärts		Atrás		Sale del codere y mira atras, y aparece RICKy martin diciendole se te han olvidado los WERTerS																						
																										
grüßen		SALUDAR		Saluda mientras baja en espiral, y salta como John Travolta en GREASE y engrasa con la grasa del pelo para resbalar mas mientras sigue bajando 																						
hola: hallo		Hola																								
buenos días: guten Morgen		Buenos días																								
buenas tardes: guten Tag		Buenas tardes																								
buenas noches: gute Nacht		Buenas noches																								
hasta pronto: bis bald		Hasta pronto																								
adiós: auf Wiedersehen		Adiós		Adios le dice con la mano, estornuda y le deja la servilleta de mocos. Me la devuelves la proxima vez																						
																										
																										
¿Qué? - Was?		¿QUÉ?																								
¿Quién? - Wer?		¿Quién?																								
¿Cuál? - Welcher/welche/welches?		¿Cuál?		Cual autobus tengo que coger disculpe, Esta WHEEL CHaiR, 																						
¿Por qué? - Warum?		¿Por qué?																								
¿Cómo? - Wie?		¿Cómo?		Como me como esta rata, con una V (los dos dedos en V) le indica y un dedo en la garganta. Como Diana en la pelicula V.																						
¿Cuándo? - Wann?		¿Cuándo?																								
¿Dónde? - Wo?		¿Dónde?																								
¿Cuánto? - Wie viel?		¿Cuánto?		Cuanto cuesta este libro y le da un FILm																						
¿Cuántos? - Wie viele?		¿Cuántos?		Cuantos billetes se me han caido de la ATM, se pregunta y al final el cae un FILEte encima de ellos, lleno de sangre																						
