ab		from now on (future)	Empezare a hacer abs dentro en un minuto, y se pone a hacer abs tirando las cerves
aus		out(side), from	Sale del cartel, y le preguntan NO NO yo vengo de AUStralia
bei		at your side, around, near by, at	Diciendole BYE pegado a su cara y no se va. luego se da una vuelta alrededro, y le dice aun estoy cerca, vala vale ya me voy quedamos at.
mit		with	Uno con mucha hambre comiendose un filetaco
nach		after, to (only with cities, countries, west/ost…, left/right)	el chino le dice despues del curro te llevo las patatas, a tu casa o a tu pais!(nach hause, recordando que to es nach solo para paises, cities y casa)
seit		since (past)	Desde hace un mes que estoy esperando el cafe, y le dice la camarera, tu fijate que vistas del piruli
von		from, of	Vienen desde Rusia, aterrizando con paracas y traen un PHONE gigante
zu		to	Voy al baño que me meo, se pone el antifaz y sale corriendo al servicio
			
		ACCUSATIVO	
durch		a tra	pasa a traves del suelo y se mete en el metro
entlang		a lo largo	Pasa el dedo al lo largo de toda la puerta y aparece un ENT y le 
für			Para que te pongas fuerte toma esta balon medicinal, lo pincha y se lo pone como un FUR (de abrigo)
gegen			Un vagabundo Enfrente del escaparate y sale el encargado, que te pires
ohne			Entra sin zapatillas y se pone a rezar OHNNNN
um			Mide la ropa, y dice UMMM exactamente PI?, luego le preguntan donde esta el metro y piensa con la mano en la barbilla, UMMM por ahi, dice sin darse al vuelta
