Wo/Wohin		DAT/AKK	En la puerta Se encienden unas luces, una en el centro o dos en los lados																							
an 		on	Cuelga un cuadro en el cierre de la entrada y le pinta una estrella (ojete)																							
auf		on top. on. above (touching)	Se pone encima del kioko y empiez AU AU AU y luego los pelos como un gato buFFFFFando																							
hinter		behind	Detras de la puerta del metro uno con la camiseta del INTER le trata de dar un susto, pero son transparentes																							
in		in	Se mete IN the bin un mendigo																							
neben		next to, beside	dos dependientes pegados el uno al otro saludan al cliente																							
über		above, over, (not touching)	Un dependiente flotando sobre los pasteles																							
unter		under, underneath (touching, or not)	debajo de la caja esta la cajera																							
vor		in front of, before	En frete de la puerta de salida, que la abre, que no la abre, que la abre que no la abre. Harrison FORd																							
zwischen		entre	Poniendo distancia entre dos clientes que se quieren pegar, se quitan las gafas y todo																							
																										
																										
																										
https://www.germanpod101.com/german-word-lists/?list=5																										
																										
																										
																										
genießen (v) enjoy		Comiendo y bailando, Hitler de rodillas (KNEES)																								
																										
hungrig (adj) hungry		mirando una hamburgesa encima del edificio, el babeando, se cuelga con unas velas (RIG)																								
																										
durstig (adj) thirsty		Bebiendo como si no hubiera mañana de un balde,  y le diran unos DURoS en el agua pensando que es pobre, y se acerca un tigre																								
																										
ekelig (adj) disgusting		Vomitando en las escaleras del Icade mirando lo pijos que son. Saca una AKA y su liga y se lia a tiros																								
																										
lecker (adj) delicious		Comiendose un pastelito y lamiendose las manos como un gato																								
																										
Gewürz das neut (n) condiment		Echandole pimienta en una cerceza, Hitler en una BEER y aparece el Zorro y le tira la birra con el florin, que haces criatura																								
																										
Knoblauch der masc (n) garlic		Enseñandole un ajo a un dracula (Tom cruise), este se pone un gorro de Kukusklan, le pone un escudo NOBLE para pagar y le da una bofetada al dependiente, AUCH																								
																										
Zucker der masc (n) sugar		Brad echandose azucar en el cafe a saco																								
																										
Salz das neut (n) salt		le dan un bollo a gustavo le ponen salt																								
																										
Essig der masc (n) vinegar		Llega Brad to vinagre bebiendo vinagre																								
																										
Chillischote die fem (n) chili pepper		Angelina frotandose chillis en la entrepierna, Chiliss el el CHOcho y como le pica se echa TE (no ayuda)																								
																										
Butter die fem (n) butter		Susan Sarandon untando de mantequilla la ATM a ver si le da pasta																								
																										
scharfe Soße fem hot sauce		Sharon con una Serpiente CHARlando con uno en la mesa que esta rezando FE (a ver si le da su numero). Como no le hace caso le echa salsa en la cara y es HOT el tio huye.																								
																										
Ketchup der masc (n) ketchup		Brad Echandose kettchup en la hambuerger																								
																										
Senf der masc (n) mustard		Brendan Freser colgado como tarzan, poniendole mostaza a su salchicha. Y se choca con SENField que le dice, pero hombre criatura																								
																										
Tabascosoße die fem (n) Tabasco sauce		Halle berry echandose tabasco en el tabaco y fumandoselo																								
																										
Pfeffer der masc (n) pepper		En la parada del bus Brad echandole Pepe a michaalle Pfeiffer que esta sentada abajo																								
