servieren (v) serve		un camarero sirviendo en en la puerta a quien pasa, con una cadavera. SER o no ser. 
mischen (v) mix		Mezclando una ensalada, se saca un trozo de adn y mirando a la MIS GEN
hacken (v) chop		cortando en la barra del tempo, mientras HACKEa con la otra mano la compiuter
zerkleinern (v) mince		Cortando tando la carne que desaparece, Es un CERdo que cada vez se hace mas pequeño KLEINER y la clienta dice NNNooo!!!
backen (v) bake		metend a una de espaldas en un horno para secarle el pelo
grillen (v) grill		Ponen a uno en el grill
zubereiten (v) prepare		Les cortan el pescado para que no tengan espinas, Con la mascara y el florin del zorro, y le dice a uno que toca el piano, BEh RAI? para diez TEN
unter Rühren anbraten (v) stir-fry		En la puerta de acuerdo 9 friend un wok dandole vuelta, Debajo de la sarten mientras es ABRASA el ANo
braten (v) fry		En el Kitchen 154 friendo unas patatas, mientras BRAd piTT le da patadas a las sillas
rösten (v) roast		Asando un cochinillo, y descansando RESTEN
schneiden (v) cut		Schneider dando unos toques al balon y le cortan la pierna 
anbraten (v) sauté		Dando saltos sharon con el culo ardiendo encima de una sarten
kochen (v) boil		Un niño Se tira a una olla de agua hirviendo y lo cogen justo antes
dämpfen (v) steam		Saliendo humo del frigorifico del chino, y uno le dice DEMe DEMe mi dinero de vuelta y el chino se pee PF en su mano
aufwärmen (v) reheat		Recalentando el cafe de uno con un soplete, y esta termina encima AUF en un arbol con le aire WARM
in der Mikrowelle erhitzen microwave		Meten a uno en el microondas, a el ER, 
grillen neut (v) barbacue		Ponen a un perro encima del grill y le echan salsa barbacoa
