übrig sein		sobrar		me sobra toda la ropa (y se queda desnuda) abrigate con esta U 																						
																										
zählen		CONTAR		cuantos dedos tengo en la mano (escondiendola detras de la espalda)																						
messen		medir		Has visto cuanto me mide? Ella le coje y le amasa el pelo dejandoselo hecho un MESS																						
wiegen		pesar		toma mira lo que pesa (se hernia casi), lo sabia eso te pasa por ser vegano (con una carrot en la boca)																						
berechnen		calcular		saca la calculadora y teclea freneticamente, le da una colleja y le dice anda no calcules tanto BE RECTO																						
addieren		sumar		se golpea una mano con la otra simulando que dos dedos de una pasan a la otra, y de repente los dedos se quedan pegados. Se addieren. 																						
subtrahieren		restar		la de un fajo de billetes y la tierra tiembla y  le quita luego casi todos, cuando pasa el SUB TRAIN (que es lo que hace que la tierra tiemble.																						
multiplizieren		multiplicar		multiplica un pez por muchos, todos con la marca del Zorro																						
dividieren		dividir		divide a su enemigo en dos con un up/down kick																						
																										
erlauben		PERMITIR		me permite subir? le pregunta, y el le señala, preguntale a EL el de la V (Uben) en la espalda.																						
aushalten		aguantar		se esta aguantando la ganas de ir al baño, levanta la cabeza y la casa(AUS) de enfrente se esta moviendo y de repente se para (HALTEN)																						
stören		molestar		le quita la mano de encima, me molesta sabes. Le coje la mano y la engancha en el Store de la ventana y la sube hasta que le deja colgando.																						
beginnen		empezar		disparo en el aire, la carrera empieza. Be a por la GIN																						
beenden		terminar		aparece terminator y una oveja balando BEEEE y el la estrangula																						
																										
öffnen		ABRIR		abre la nevera y esta absolutamente vacia. Me a dejado OFF neng																						
schließen		cerrar		cierra la nevera y alguien le pone la mano en el hombro y le dice, SHHHH mientras se pone el indice en la boca. Escucha (LISTEN)																						
anrufen		llamar		le llaman por telefono y al otro lado esta ANA de armas RUFandose																						
